cluster,longitude,latitude,edad,PRECTOTCORR,PAR,arcillas_0-30cm_mean,arena_0-30cm_mean,limo_0-30cm_mean
0,-76.32,3.22,7.23,1.36,127.5,37.68,25.87,36.44
0,-76.32,3.22,7.26,1.36,127.5,37.68,25.87,36.44
0,-76.32,3.22,7.4,1.36,127.5,37.68,25.87,36.44
0,-76.32,3.22,7.4,1.36,127.5,37.68,25.87,36.44
0,-76.31,3.22,7.23,1.36,127.5,36.7,22.77,40.57
0,-76.31,3.22,7.26,1.36,127.5,36.7,22.77,40.57
0,-76.31,3.22,7.4,1.36,127.5,36.7,22.77,40.57
0,-76.34,3.16,7.23,1.36,127.5,34.83,23.37,41.8
0,-76.27,4.06,7.03,2.93,129.3,38.83,33.1,28.07
0,-76.27,4.06,7.03,2.93,129.3,38.83,33.1,28.07
0,-76.44,3.2,6.9,1.36,127.5,42.17,20.07,37.7
0,-76.44,3.18,6.9,1.36,127.5,41.77,20.5,37.73
0,-76.44,3.18,7.03,1.36,127.5,41.77,20.5,37.73
0,-76.44,3.18,7.03,1.36,127.5,41.77,20.5,37.73
0,-76.44,3.18,7.03,1.36,127.5,41.77,20.5,37.73
0,-76.44,3.18,7.03,1.36,127.5,41.77,20.5,37.73
0,-76.44,3.18,7.03,1.36,127.5,41.77,20.5,37.73
0,-76.44,3.2,7.03,1.36,127.5,42.17,20.07,37.7
0,-76.44,3.18,7.03,1.36,127.5,41.77,20.5,37.73
0,-76.22,4.01,7.23,2.93,129.3,39.13,34.47,26.37
0,-76.44,3.18,7.03,1.36,127.5,41.77,20.5,37.73
0,-76.44,3.18,14.13,1.36,127.5,41.77,20.5,37.73
0,-76.44,3.18,14.13,1.36,127.5,41.77,20.5,37.73
0,-76.44,3.18,14.13,1.36,127.5,41.77,20.5,37.73
0,-76.22,4.01,7.23,2.93,129.3,39.13,34.47,26.37
0,-76.27,4.06,6.9,2.93,129.3,38.83,33.1,28.07
0,-76.27,4.06,7.03,2.93,129.3,38.83,33.1,28.07
0,-76.44,3.2,7.03,1.36,127.5,42.17,20.07,37.7
0,-76.27,4.06,7.03,2.93,129.3,38.83,33.1,28.07
0,-76.44,3.2,14.13,1.36,127.5,42.17,20.07,37.7
0,-76.44,3.2,14.13,1.36,127.5,42.17,20.07,37.7
0,-76.44,3.2,14.13,1.36,127.5,42.17,20.07,37.7
0,-76.27,4.06,7.03,2.93,129.3,38.83,33.1,28.07
0,-76.27,4.06,7.03,2.93,129.3,38.83,33.1,28.07
0,-76.44,3.2,14.13,1.36,127.5,42.17,20.07,37.7
0,-76.44,3.2,7.03,1.36,127.5,42.17,20.07,37.7
0,-76.44,3.2,7.03,1.36,127.5,42.17,20.07,37.7
0,-76.44,3.2,7.03,1.36,127.5,42.17,20.07,37.7
0,-76.44,3.2,7.03,1.36,127.5,42.17,20.07,37.7
0,-76.44,3.2,7.03,1.36,127.5,42.17,20.07,37.7
0,-76.46,3.18,14.13,1.36,127.5,36.0,24.33,39.63
0,-76.31,3.22,7.4,1.36,127.5,36.7,22.77,40.57
0,-76.44,3.18,14.13,1.36,127.5,41.77,20.5,37.73
0,-76.45,3.22,7.03,1.36,127.5,40.07,24.83,35.13
0,-76.45,3.22,7.03,1.36,127.5,40.07,24.83,35.13
0,-76.34,3.33,7.03,1.75,127.5,38.3,24.13,37.57
0,-76.34,3.33,7.03,1.75,127.5,38.3,24.13,37.57
0,-76.34,3.33,14.13,1.75,127.5,38.3,24.13,37.57
0,-76.45,3.22,7.03,1.36,127.5,40.07,24.83,35.13
0,-76.34,3.33,7.03,1.75,127.5,38.3,24.13,37.57
0,-76.45,3.22,7.03,1.36,127.5,40.07,24.83,35.13
0,-76.46,3.18,6.9,1.36,127.5,36.27,24.43,39.27
0,-76.46,3.18,7.03,1.36,127.5,36.27,24.43,39.27
0,-76.46,3.18,7.03,1.36,127.5,36.27,24.43,39.27
0,-76.45,3.22,6.9,1.36,127.5,40.07,24.83,35.13
0,-76.46,3.18,7.03,1.36,127.5,36.27,24.43,39.27
0,-76.46,3.18,7.03,1.36,127.5,36.27,24.43,39.27
0,-76.46,3.18,7.03,1.36,127.5,36.27,24.43,39.27
0,-76.45,3.22,7.03,1.36,127.5,40.07,24.83,35.13
0,-76.34,3.33,7.03,1.75,127.5,38.3,24.13,37.57
0,-76.34,3.33,7.03,1.75,127.5,38.3,24.13,37.57
0,-76.45,3.22,7.03,1.36,127.5,40.07,24.83,35.13
0,-76.27,4.06,14.13,2.93,129.3,38.83,33.1,28.07
0,-76.34,3.33,14.13,1.75,127.5,38.3,24.13,37.57
0,-76.45,3.22,14.13,1.36,127.5,40.07,24.83,35.13
0,-76.34,3.18,7.23,1.36,127.5,37.8,23.83,38.4
0,-76.45,3.22,14.13,1.36,127.5,40.07,24.83,35.13
0,-76.34,3.33,14.13,1.75,127.5,38.3,24.13,37.57
0,-76.45,3.22,14.13,1.36,127.5,40.07,24.83,35.13
0,-76.34,3.33,6.9,1.75,127.5,38.3,24.13,37.57
